Ticker Symbol,Date,"Divide(Momentum(Avg2(SystemEquity(R%_3),SystemEquity(Long Term)),1),10000)"
BP_0011N,1/3/2005,0.0000
BP_0011N,1/4/2005,0.0000
BP_0011N,1/5/2005,0.0000
BP_0011N,1/6/2005,0.0000
BP_0011N,1/7/2005,0.0000
BP_0011N,1/10/2005,0.0000
BP_0011N,1/11/2005,0.0000
BP_0011N,1/12/2005,0.0000
BP_0011N,1/13/2005,0.0000
BP_0011N,1/14/2005,0.0000
BP_0011N,1/18/2005,0.0000
BP_0011N,1/19/2005,0.0000
BP_0011N,1/20/2005,0.0000
BP_0011N,1/21/2005,0.0000
BP_0011N,1/24/2005,0.0000
BP_0011N,1/25/2005,0.0000
BP_0011N,1/26/2005,0.0000
BP_0011N,1/27/2005,0.0000
BP_0011N,1/28/2005,0.0000
BP_0011N,1/31/2005,0.0000
BP_0011N,2/1/2005,0.0000
BP_0011N,2/2/2005,0.0000
BP_0011N,2/3/2005,0.0000
BP_0011N,2/4/2005,0.0000
BP_0011N,2/7/2005,0.0000
BP_0011N,2/8/2005,0.0000
BP_0011N,2/9/2005,0.0000
BP_0011N,2/10/2005,0.0000
BP_0011N,2/11/2005,0.0000
BP_0011N,2/14/2005,0.0000
BP_0011N,2/15/2005,0.0000
BP_0011N,2/16/2005,0.0000
BP_0011N,2/17/2005,0.0000
BP_0011N,2/18/2005,0.0000
BP_0011N,2/22/2005,0.0000
BP_0011N,2/23/2005,0.0000
BP_0011N,2/24/2005,0.0000
BP_0011N,2/25/2005,0.0000
BP_0011N,2/28/2005,0.0000
BP_0011N,3/1/2005,0.0000
BP_0011N,3/2/2005,0.0000
BP_0011N,3/3/2005,0.0000
BP_0011N,3/4/2005,0.0000
BP_0011N,3/7/2005,0.0000
BP_0011N,3/8/2005,0.0000
BP_0011N,3/9/2005,0.0000
BP_0011N,3/10/2005,0.0000
BP_0011N,3/11/2005,0.0000
BP_0011N,3/14/2005,0.0000
BP_0011N,3/15/2005,0.0000
BP_0011N,3/16/2005,0.0000
BP_0011N,3/17/2005,0.0000
BP_0011N,3/18/2005,0.0000
BP_0011N,3/21/2005,0.0000
BP_0011N,3/22/2005,0.0000
BP_0011N,3/23/2005,0.0000
BP_0011N,3/24/2005,0.0000
BP_0011N,3/28/2005,0.0000
BP_0011N,3/29/2005,0.0000
BP_0011N,3/30/2005,0.0000
BP_0011N,3/31/2005,0.0000
BP_0011N,4/1/2005,0.0000
BP_0011N,4/4/2005,0.0000
BP_0011N,4/5/2005,0.0000
BP_0011N,4/6/2005,0.0000
BP_0011N,4/7/2005,0.0000
BP_0011N,4/8/2005,0.0000
BP_0011N,4/11/2005,0.0000
BP_0011N,4/12/2005,0.0000
BP_0011N,4/13/2005,0.0000
BP_0011N,4/14/2005,0.0000
BP_0011N,4/15/2005,0.0000
BP_0011N,4/18/2005,0.0000
BP_0011N,4/19/2005,0.0000
BP_0011N,4/20/2005,0.0000
BP_0011N,4/21/2005,0.0000
BP_0011N,4/22/2005,0.0000
BP_0011N,4/25/2005,0.0000
BP_0011N,4/26/2005,0.0000
BP_0011N,4/27/2005,0.0000
BP_0011N,4/28/2005,0.0000
BP_0011N,4/29/2005,0.0000
BP_0011N,5/2/2005,0.0000
BP_0011N,5/3/2005,0.0000
BP_0011N,5/4/2005,0.0000
BP_0011N,5/5/2005,0.0000
BP_0011N,5/6/2005,0.0000
BP_0011N,5/9/2005,0.0000
BP_0011N,5/10/2005,0.0000
BP_0011N,5/11/2005,0.0000
BP_0011N,5/12/2005,0.0000
BP_0011N,5/13/2005,0.0000
BP_0011N,5/16/2005,0.0000
BP_0011N,5/17/2005,0.0000
BP_0011N,5/18/2005,0.0000
BP_0011N,5/19/2005,0.0000
BP_0011N,5/20/2005,-0.0024
BP_0011N,5/23/2005,0.0000
BP_0011N,5/24/2005,0.0000
BP_0011N,5/25/2005,0.0000
BP_0011N,5/26/2005,0.0000
BP_0011N,5/27/2005,0.0000
BP_0011N,5/31/2005,0.0000
BP_0011N,6/1/2005,0.0000
BP_0011N,6/2/2005,0.0000
BP_0011N,6/3/2005,0.0000
BP_0011N,6/6/2005,0.0000
BP_0011N,6/7/2005,0.0000
BP_0011N,6/8/2005,0.0000
BP_0011N,6/9/2005,0.0000
BP_0011N,6/10/2005,0.0000
BP_0011N,6/13/2005,0.0000
BP_0011N,6/14/2005,0.0000
BP_0011N,6/15/2005,-0.0044
BP_0011N,6/16/2005,0.0006
BP_0011N,6/17/2005,-0.0025
BP_0011N,6/20/2005,0.0018
BP_0011N,6/21/2005,-0.0019
BP_0011N,6/22/2005,0.0021
BP_0011N,6/23/2005,0.0022
BP_0011N,6/24/2005,-0.0024
BP_0011N,6/27/2005,-0.0016
BP_0011N,6/28/2005,0.0033
BP_0011N,6/29/2005,0.0030
BP_0011N,6/30/2005,0.0039
BP_0011N,7/1/2005,0.0056
BP_0011N,7/5/2005,0.0040
BP_0011N,7/6/2005,0.0000
BP_0011N,7/7/2005,0.0032
BP_0011N,7/8/2005,0.0023
BP_0011N,7/11/2005,-0.0063
BP_0011N,7/12/2005,-0.0054
BP_0011N,7/13/2005,0.0000
BP_0011N,7/14/2005,0.0000
BP_0011N,7/15/2005,0.0000
BP_0011N,7/18/2005,0.0000
BP_0011N,7/19/2005,0.0000
BP_0011N,7/20/2005,0.0000
BP_0011N,7/21/2005,0.0000
BP_0011N,7/22/2005,0.0000
BP_0011N,7/25/2005,0.0000
BP_0011N,7/26/2005,0.0000
BP_0011N,7/27/2005,0.0000
BP_0011N,7/28/2005,0.0000
BP_0011N,7/29/2005,0.0000
BP_0011N,8/1/2005,0.0000
BP_0011N,8/2/2005,0.0000
BP_0011N,8/3/2005,0.0000
BP_0011N,8/4/2005,0.0000
BP_0011N,8/5/2005,0.0000
