Date,NumericDeliveryMonth,ExpiryDate,       Open,       High,        Low,      Close,       Cash,           %Chg,  LastPrice,  Volume,      OI,TotalVolume, TotalOI
04/02/2001,200106,06/27/2001,      259.1,      259.5,      255.8,      256.6,      255.9,          0.00%,      258.5,   33078,   82093,   37188,  117725
04/03/2001,200106,06/27/2001,      256.6,      259.4,      256.6,      257.9,      257.1,          0.51%,      258.2,   16126,   83491,   17055,  118398
04/04/2001,200106,06/27/2001,      258.7,      261.5,      258.0,      259.4,      259.4,          0.58%,      259.8,   20371,   86172,   21497,  120811
04/05/2001,200106,06/27/2001,      260.2,      260.2,      258.4,      259.1,      258.1,         -0.12%,      259.1,   10369,   87070,   12752,  122271
04/06/2001,200106,06/27/2001,      259.3,      261.1,      258.4,      260.9,      258.8,          0.69%,      259.1,   15363,   88064,   19697,  123892
04/09/2001,200106,06/27/2001,      260.9,      261.9,      259.0,      259.2,      259.0,         -0.65%,      261.2,   14792,   93648,   15354,  129588
04/10/2001,200106,06/27/2001,      259.2,      259.6,      257.2,      258.2,      256.6,         -0.39%,      258.4,   13681,   93804,   14427,  130116
04/11/2001,200106,06/27/2001,      258.8,      260.6,      257.6,      259.6,      257.7,          0.54%,      258.1,   18556,   93673,   19340,  130133
04/12/2001,200106,06/27/2001,      259.7,      261.7,      259.5,      260.9,      259.2,          0.50%,      260.3,   17122,   91496,   18004,  128229
04/16/2001,200106,06/27/2001,      260.6,      265.0,      260.2,      264.1,      262.0,          1.23%,      260.2,   35166,   85169,   37965,  122928
04/17/2001,200106,06/27/2001,      264.2,      264.7,      260.8,      261.8,      260.5,         -0.87%,      262.2,   15509,   84517,   16331,  122146
04/18/2001,200106,06/27/2001,      262.0,      263.2,      259.2,      262.0,      258.8,          0.08%,      260.2,   24261,   84252,   26729,  121586
04/19/2001,200106,06/27/2001,      261.8,      266.1,      261.8,      266.0,      263.1,          1.53%,      262.1,   35516,   82842,   37154,  120456
04/20/2001,200106,06/27/2001,      266.2,      266.8,      264.2,      265.4,      263.8,         -0.23%,      265.0,   22693,   78218,   25493,  116054
04/23/2001,200106,06/27/2001,      265.4,      265.8,      263.1,      264.3,      262.6,         -0.41%,      263.6,   11839,   77948,   13253,  115998
04/24/2001,200106,06/27/2001,      264.3,      265.7,      263.5,      264.7,      263.4,          0.15%,      264.6,   22270,   77075,   24560,  114900
