Date,NumericDeliveryMonth,ExpiryDate,       Open,       High,        Low,      Close,       Cash,           %Chg,  LastPrice,  Volume,      OI,TotalVolume, TotalOI
04/02/2001,200106,06/27/2001,      259.1,      259.5,      255.8,      256.6,      255.9,          0.00%,        0.0,   33078,   82093,   37188,  117725
04/03/2001,200106,06/27/2001,      256.6,      259.4,      256.6,      257.9,      257.1,          0.51%,        0.0,   16126,   83491,   17055,  118398
04/04/2001,200106,06/27/2001,      258.7,      261.5,      258.0,      259.4,      259.4,          0.58%,        0.0,   20371,   86172,   21497,  120811
04/05/2001,200106,06/27/2001,      260.2,      260.2,      258.4,      259.1,      258.1,         -0.12%,        0.0,   10369,   87070,   12752,  122271
04/06/2001,200106,06/27/2001,      259.3,      261.1,      258.4,      260.9,      258.8,          0.69%,        0.0,   15363,   88064,   19697,  123892
04/09/2001,200106,06/27/2001,      260.9,      261.9,      259.0,      259.2,      259.0,         -0.65%,        0.0,   14792,   93648,   15354,  129588
04/10/2001,200106,06/27/2001,      259.2,      259.6,      257.2,      258.2,      256.6,         -0.39%,        0.0,   13681,   93804,   14427,  130116
04/11/2001,200106,06/27/2001,      258.8,      260.6,      257.6,      259.6,      257.7,          0.54%,        0.0,   18556,   93673,   19340,  130133
04/12/2001,200106,06/27/2001,      259.7,      261.7,      259.5,      260.9,      259.2,          0.50%,        0.0,   17122,   91496,   18004,  128229
04/16/2001,200106,06/27/2001,      260.6,      265.0,      260.2,      264.1,      262.0,          1.23%,        0.0,   35166,   85169,   37965,  122928
04/17/2001,200106,06/27/2001,      264.2,      264.7,      260.8,      261.8,      260.5,         -0.87%,        0.0,   15509,   84517,   16331,  122146
04/18/2001,200106,06/27/2001,      262.0,      263.2,      259.2,      262.0,      258.8,          0.08%,        0.0,   24261,   84252,   26729,  121586
04/19/2001,200106,06/27/2001,      261.8,      266.1,      261.8,      266.0,      263.1,          1.53%,        0.0,   35516,   82842,   37154,  120456
04/20/2001,200106,06/27/2001,      266.2,      266.8,      264.2,      265.4,      263.8,         -0.23%,        0.0,   22693,   78218,   25493,  116054
04/23/2001,200106,06/27/2001,      265.4,      265.8,      263.1,      264.3,      262.6,         -0.41%,        0.0,   11839,   77948,   13253,  115998
04/24/2001,200106,06/27/2001,      264.3,      265.7,      263.5,      264.7,      263.4,          0.15%,        0.0,   22270,   77075,   24560,  114900
04/25/2001,200106,06/27/2001,      264.8,      265.0,      262.2,      262.6,      263.5,         -0.79%,        0.0,   17506,   75931,   19554,  114077
04/26/2001,200106,06/27/2001,      262.8,      264.9,      262.7,      264.5,      263.5,          0.72%,        0.0,   17490,   74114,   20228,  112505
04/27/2001,200106,06/27/2001,      264.6,      267.5,      264.1,      264.3,      264.6,         -0.08%,        0.0,   23770,   71506,   26792,  110517
04/30/2001,200106,06/27/2001,      264.3,      264.5,      263.5,      264.4,      263.1,          0.04%,        0.0,   10999,   70000,   14684,  110412
05/01/2001,200108,08/29/2001,      264.3,      265.0,      264.1,      264.8,      264.0,          0.15%,        0.0,    7048,   70221,    8576,  110868
05/02/2001,200108,08/29/2001,      265.5,      266.3,      264.7,      266.1,      263.9,          0.50%,        0.0,   10720,   50606,   16591,  111266
05/03/2001,200108,08/29/2001,      267.0,      268.7,      266.3,      267.4,      266.4,          0.46%,        0.0,   11466,   30726,   34904,  111554
05/04/2001,200108,08/29/2001,      268.1,      269.0,      267.3,      267.4,      266.6,          0.01%,        0.0,    2132,   10913,   26598,  109741
05/07/2001,200108,08/29/2001,      267.4,      268.0,      266.8,      267.4,      266.0,          0.00%,        0.0,     255,   11000,    5946,  110543
05/08/2001,200108,08/29/2001,      267.3,      267.3,      266.3,      266.4,      265.2,         -0.37%,        0.0,      84,   11212,   11721,  109018
05/09/2001,200108,08/29/2001,      266.6,      272.0,      266.6,      271.4,      267.7,          1.88%,        0.0,      62,   10960,   50704,  115337
05/10/2001,200108,08/29/2001,      271.4,      272.0,      269.5,      270.5,      268.4,         -0.33%,        0.0,    2031,   11846,   33821,  113001
05/11/2001,200108,08/29/2001,      271.4,      271.4,      269.1,      269.4,      269.0,         -0.41%,        0.0,    3197,   12061,   24554,  105491
05/14/2001,200108,08/29/2001,      269.3,      270.3,      269.0,      269.7,      268.3,          0.11%,        0.0,    1036,   12287,   13793,  106731
05/15/2001,200108,08/29/2001,      269.6,      270.1,      267.6,      269.5,      266.6,         -0.07%,        0.0,    4366,   14279,   31524,  106947
05/16/2001,200108,08/29/2001,      269.5,      273.7,      269.5,      273.3,      270.9,          1.41%,        0.0,    2473,   14940,   32955,  109391
05/17/2001,200108,08/29/2001,      273.3,      276.0,      273.2,      275.0,      274.0,          0.62%,        0.0,    7687,   17008,   49364,  117249
05/18/2001,200108,08/29/2001,      274.7,      290.0,      273.7,      288.9,      273.0,          5.05%,        0.0,   14373,   22731,   77413,  129243
05/21/2001,200108,08/29/2001,      292.0,      299.4,      284.0,      286.8,      291.2,         -0.73%,        0.0,   14462,   27373,   94341,  133347
05/22/2001,200108,08/29/2001,      287.7,      288.6,      283.2,      286.5,      284.1,         -0.10%,        0.0,    9486,   28980,   56230,  133866
05/23/2001,200108,08/29/2001,      286.9,      286.9,      284.0,      285.0,      283.1,         -0.52%,        0.0,   20188,   39965,   55997,  136663
05/24/2001,200108,08/29/2001,      284.5,      290.0,      276.0,      280.3,      286.0,         -1.65%,        0.0,   27512,   53636,   88737,  140722
05/25/2001,200108,08/29/2001,      280.3,      282.5,      276.5,      279.1,      276.2,         -0.43%,        0.0,   18610,   60876,   54139,  134768
05/29/2001,200108,08/29/2001,      278.9,      279.5,      274.5,      275.1,      275.7,         -1.43%,        0.0,   37574,   77056,   76401,  133990
05/30/2001,200108,08/29/2001,      275.2,      276.2,      266.0,      267.4,      271.0,         -2.80%,        0.0,   75361,   71870,  108291,  115781
05/31/2001,200108,08/29/2001,      267.9,      269.6,      266.5,      266.9,      267.5,         -0.19%,        0.0,   23493,   69932,   28727,  109858
06/01/2001,200108,08/29/2001,      266.8,      268.7,      266.2,      268.0,      265.4,          0.41%,        0.0,   18171,   70372,   22243,  110413
06/04/2001,200108,08/29/2001,      267.9,      268.5,      266.2,      266.5,      266.5,         -0.56%,        0.0,   14692,   67797,   15485,  107543
06/05/2001,200108,08/29/2001,      266.9,      267.5,      265.5,      267.1,      265.7,          0.22%,        0.0,   13999,   68694,   16015,  109182
06/06/2001,200108,08/29/2001,      267.1,      268.4,      266.3,      267.0,      265.5,         -0.04%,        0.0,   16362,   69028,   18638,  109943
06/07/2001,200108,08/29/2001,      267.0,      267.6,      266.6,      267.3,      266.1,          0.11%,        0.0,    6579,   69355,    7325,  110433
06/08/2001,200108,08/29/2001,      267.6,      275.5,      267.1,      274.5,      267.0,          2.69%,        0.0,   29036,   72549,   33256,  114642
06/11/2001,200108,08/29/2001,      275.0,      275.2,      267.5,      268.9,      268.5,         -2.04%,        0.0,   28482,   70140,   29786,  111994
06/12/2001,200108,08/29/2001,      269.0,      273.4,      267.8,      272.6,      269.9,          1.38%,        0.0,   24210,   71832,   25553,  114065
06/13/2001,200108,08/29/2001,      272.0,      274.5,      270.2,      273.1,      271.9,          0.18%,        0.0,   26231,   72442,   29373,  114850
06/14/2001,200108,08/29/2001,      273.2,      277.9,      271.5,      276.4,      272.4,          1.21%,        0.0,   31760,   76352,   32661,  118677
06/15/2001,200108,08/29/2001,      277.1,      277.2,      270.8,      272.3,      272.2,         -1.48%,        0.0,   24515,   76203,   26378,  118799
06/18/2001,200108,08/29/2001,      271.6,      275.1,      271.6,      273.4,      272.0,          0.40%,        0.0,   19125,   73685,   22771,  117119
06/19/2001,200108,08/29/2001,      273.6,      275.8,      272.6,      274.4,      273.4,          0.37%,        0.0,   16348,   74263,   18101,  118500
06/20/2001,200108,08/29/2001,      274.6,      274.7,      271.8,      273.4,      271.5,         -0.36%,        0.0,   16178,   77248,   17805,  121037
06/21/2001,200108,08/29/2001,      273.2,      274.7,      272.1,      273.6,      271.7,          0.07%,        0.0,   12845,   76981,   14379,  121292
06/22/2001,200108,08/29/2001,      273.8,      276.7,      272.5,      273.3,      273.3,         -0.11%,        0.0,   22094,   77698,   22968,  122025
06/25/2001,200108,08/29/2001,      273.2,      275.9,      273.1,      274.7,      272.9,          0.51%,        0.0,   13032,   77707,   13579,  122281
06/26/2001,200108,08/29/2001,      274.5,      279.8,      274.0,      277.0,      274.0,          0.84%,        0.0,   26437,   79491,   29333,  125033
06/27/2001,200108,08/29/2001,      276.9,      278.0,      272.2,      272.8,      274.8,         -1.52%,        0.0,   23385,   78523,   25289,  124528
06/28/2001,200108,08/29/2001,      272.9,      272.9,      268.4,      270.0,      269.5,         -1.03%,        0.0,   36816,   75109,   41068,  120524
06/29/2001,200108,08/29/2001,      270.5,      272.7,      270.1,      271.3,      270.6,          0.48%,        0.0,   17404,   73887,   19429,  119672
07/02/2001,200108,08/29/2001,      271.5,      271.5,      268.5,      270.1,      268.3,         -0.44%,        0.0,   17618,   74873,   18434,  120865
07/03/2001,200108,08/29/2001,      270.0,      270.2,      268.1,      268.3,      268.5,         -0.67%,        0.0,   18329,   71100,   20894,  117731
07/05/2001,200108,08/29/2001,      267.7,      268.8,      265.3,      265.8,      266.3,         -0.93%,        0.0,   24567,   69912,   26715,  116395
07/06/2001,200108,08/29/2001,      266.0,      267.7,      264.8,      266.6,      265.1,          0.30%,        0.0,   21069,   72032,   22771,  118575
07/09/2001,200108,08/29/2001,      267.1,      267.5,      265.9,      267.0,      266.1,          0.15%,        0.0,   13508,   71896,   16106,  119015
07/10/2001,200108,08/29/2001,      267.0,      268.1,      266.6,      266.7,      267.4,         -0.11%,        0.0,   13218,   70746,   16790,  118688
07/11/2001,200108,08/29/2001,      266.5,      270.2,      266.5,      268.8,      267.5,          0.79%,        0.0,   26153,   70822,   32174,  120935
07/12/2001,200108,08/29/2001,      269.0,      269.2,      266.0,      267.1,      266.3,         -0.63%,        0.0,   17666,   69575,   19913,  119907
07/13/2001,200108,08/29/2001,      267.1,      267.9,      266.3,      267.6,      266.3,          0.19%,        0.0,   14022,   66537,   18614,  119358
07/16/2001,200108,08/29/2001,      267.6,      269.6,      267.0,      267.4,      268.2,         -0.07%,        0.0,   16943,   65261,   19530,  118535
07/17/2001,200108,08/29/2001,      267.6,      268.7,      267.2,      268.6,      267.6,          0.45%,        0.0,   10906,   62687,   12908,  116292
07/18/2001,200108,08/29/2001,      268.7,      271.5,      268.2,      270.8,      268.5,          0.82%,        0.0,   25414,   62051,   32096,  116492
07/19/2001,200108,08/29/2001,      271.4,      272.1,      268.0,      269.7,      270.3,         -0.41%,        0.0,   23642,   59597,   28268,  115958
07/20/2001,200108,08/29/2001,      269.8,      271.1,      269.0,      270.2,      269.7,          0.18%,        0.0,   18566,   55644,   24482,  113919
07/23/2001,200108,08/29/2001,      270.4,      270.4,      268.8,      269.1,      268.7,         -0.41%,        0.0,    6408,   54141,    9297,  112453
07/24/2001,200108,08/29/2001,      269.1,      270.3,      268.6,      270.0,      268.7,          0.33%,        0.0,   15963,   49363,   24325,  111764
07/25/2001,200108,08/29/2001,      270.0,      270.2,      267.3,      267.8,      268.4,         -0.81%,        0.0,   36179,   37376,   52075,  106311
07/26/2001,200108,08/29/2001,      267.8,      268.3,      265.4,      266.3,      267.5,         -0.56%,        0.0,   37011,   28106,   62613,  105070
07/27/2001,200108,08/29/2001,      266.3,      267.5,      265.4,      267.4,      266.1,          0.41%,        0.0,   25743,   16400,   52380,  105628
07/30/2001,200108,08/29/2001,      267.3,      267.5,      264.1,      264.6,      266.3,         -1.05%,        0.0,   17975,    4526,   53144,  101218
07/31/2001,200108,08/29/2001,      264.8,      266.5,      264.4,      266.2,      265.9,          0.60%,        0.0,    1912,    1550,   14725,  100943
08/01/2001,200108,08/29/2001,      266.2,      268.1,      265.8,      267.4,      267.3,          0.45%,        0.0,     348,     778,   22865,  100030
08/02/2001,200108,08/29/2001,      267.0,      268.0,      266.1,      267.4,      267.0,          0.00%,        0.0,     284,     459,    9868,  100116
08/03/2001,200108,08/29/2001,      267.0,      268.5,      266.5,      267.9,      267.8,          0.19%,        0.0,     136,     418,   16287,  100929
08/06/2001,200108,08/29/2001,      267.0,      267.8,      267.0,      267.1,      267.2,         -0.30%,        0.0,     234,     361,    7839,  100420
08/07/2001,200108,08/29/2001,      267.0,      267.0,      265.9,      267.2,      266.4,          0.04%,        0.0,     156,     337,   13588,   98582
08/08/2001,200108,08/29/2001,      266.1,      268.0,      265.9,      267.9,      266.4,          0.26%,        0.0,     291,     466,   15973,   99082
08/09/2001,200108,08/29/2001,      268.0,      274.0,      268.0,      273.4,      270.0,          2.05%,        0.0,     433,     396,   60281,  100880
08/10/2001,200108,08/29/2001,      273.4,      275.8,      273.0,      273.9,      275.8,          0.18%,        0.0,     105,     121,   50787,  112910
08/13/2001,200108,08/29/2001,      275.2,      275.2,      275.2,      275.7,      275.6,          0.66%,        0.0,       3,      73,   24698,  114980
08/14/2001,200108,08/29/2001,      274.8,      276.0,      273.2,      276.3,      274.5,          0.22%,        0.0,       8,      69,   28510,  119311
08/15/2001,200108,08/29/2001,      275.0,      276.0,      275.0,      275.7,      275.3,         -0.22%,        0.0,      10,      73,   33792,  120852
08/16/2001,200108,08/29/2001,      275.0,      275.0,      275.0,      275.2,      275.9,         -0.18%,        0.0,       2,      73,   32688,  123190
08/17/2001,200108,08/29/2001,      277.6,      280.8,      277.2,      279.3,      277.4,          1.49%,        0.0,       6,      66,   43972,  132010
08/20/2001,200108,08/29/2001,      277.2,      277.2,      277.2,      276.1,      276.6,         -1.15%,        0.0,      26,      66,   19490,  132742
08/21/2001,200108,08/29/2001,      275.0,      275.0,      275.0,      275.0,      276.3,         -0.40%,        0.0,       1,      66,   22788,  131631
08/22/2001,200108,08/29/2001,      274.9,      274.9,      274.9,      274.9,      275.8,         -0.04%,        0.0,       2,      65,   18429,  130311
08/23/2001,200108,08/29/2001,      275.3,      275.3,      275.3,      275.3,      274.8,          0.15%,        0.0,       0,      65,   11055,  130574
08/24/2001,200108,08/29/2001,      272.5,      272.5,      272.5,      272.5,      272.8,         -1.02%,        0.0,       0,      65,   23437,  125201
08/27/2001,200108,08/29/2001,      272.5,      272.5,      272.4,      272.6,      272.8,          0.04%,        0.0,      59,      64,   14574,  121635
08/28/2001,200108,08/29/2001,      272.3,      272.3,      272.3,      272.3,      271.0,         -0.11%,        0.0,      56,      39,   17699,  120108
08/29/2001,200108,08/29/2001,      274.2,      274.2,      274.2,      273.7,      272.8,          0.51%,        0.0,       2,       4,   17121,  121476
08/30/2001,200112,12/27/2001,      275.9,      277.7,      274.3,      277.5,      272.3,          1.39%,        0.0,   19508,   84356,   20455,  123336
08/31/2001,200112,12/27/2001,      276.9,      278.4,      274.5,      276.5,      273.0,         -0.36%,        0.0,   18648,   84706,   21224,  123502
09/04/2001,200112,12/27/2001,      276.1,      276.1,      273.3,      273.7,      272.3,         -1.01%,        0.0,   18862,   82446,   22506,  121687
09/05/2001,200112,12/27/2001,      273.5,      274.8,      273.2,      274.1,      271.3,          0.15%,        0.0,   12624,   82065,   13044,  121670
09/06/2001,200112,12/27/2001,      274.1,      275.6,      273.5,      275.0,      272.0,          0.33%,        0.0,   16898,   82190,   17703,  121936
09/07/2001,200112,12/27/2001,      275.0,      276.6,      274.4,      275.1,      273.6,          0.04%,        0.0,   20602,   84607,   21290,  124489
09/10/2001,200112,12/27/2001,      275.0,      275.8,      272.7,      273.7,      271.5,         -0.51%,        0.0,   22207,   84607,   23611,  124489
09/14/2001,200112,12/27/2001,      292.3,      292.3,      292.3,      292.3,      285.7,          6.80%,        0.0,   11556,   79087,   14078,  117230
09/17/2001,200112,12/27/2001,      291.0,      293.0,      287.0,      291.5,      293.2,         -0.27%,        0.0,   32280,   80622,   36288,  118587
09/18/2001,200112,12/27/2001,      291.0,      292.0,      287.6,      289.7,      289.4,         -0.62%,        0.0,   15839,   83093,   20509,  120057
09/19/2001,200112,12/27/2001,      289.7,      294.0,      288.6,      292.3,      288.1,          0.90%,        0.0,   25786,   84757,   29638,  121173
09/20/2001,200112,12/27/2001,      292.0,      292.3,      289.0,      289.8,      288.5,         -0.85%,        0.0,   15305,   87962,   17969,  124785
09/21/2001,200112,12/27/2001,      291.8,      296.0,      290.3,      292.9,      288.5,          1.07%,        0.0,   25206,   91622,   27382,  128196
09/24/2001,200112,12/27/2001,      293.0,      294.0,      288.0,      290.9,      288.2,         -0.68%,        0.0,   15322,   92077,   16649,  129191
09/25/2001,200112,12/27/2001,      291.5,      292.0,      288.8,      291.8,      288.0,          0.31%,        0.0,   17732,   93572,   22746,  129840
09/26/2001,200112,12/27/2001,      291.8,      295.2,      290.1,      294.8,      291.4,          1.03%,        0.0,   21441,   97866,   27136,  131770
09/27/2001,200112,12/27/2001,      295.0,      295.3,      290.5,      293.2,      289.8,         -0.54%,        0.0,   17778,   99482,   19755,  132878
09/28/2001,200112,12/27/2001,      292.0,      295.5,      291.5,      294.0,      293.1,          0.27%,        0.0,   17232,  102569,   20246,  136063
10/01/2001,200112,12/27/2001,      293.7,      294.1,      291.9,      293.2,      290.6,         -0.27%,        0.0,   11169,  103200,   12532,  136978
10/02/2001,200112,12/27/2001,      293.7,      294.0,      290.3,      290.9,      291.6,         -0.78%,        0.0,   23253,   98420,   26177,  132653
10/03/2001,200112,12/27/2001,      290.9,      292.8,      290.9,      291.6,      290.1,          0.24%,        0.0,   19660,  100892,   20488,  135189
10/04/2001,200112,12/27/2001,      290.9,      293.3,      290.1,      291.6,      290.3,          0.00%,        0.0,   20837,  100444,   23605,  136044
10/05/2001,200112,12/27/2001,      291.6,      293.8,      291.6,      292.5,      291.2,          0.31%,        0.0,   19149,  102190,   21912,  139098
10/08/2001,200112,12/27/2001,      293.8,      295.9,      292.1,      293.4,      291.8,          0.31%,        0.0,   16077,  101517,   16707,  138647
10/09/2001,200112,12/27/2001,      293.5,      293.8,      289.3,      289.7,      290.0,         -1.26%,        0.0,   26878,   97642,   27818,  134663
10/10/2001,200112,12/27/2001,      290.0,      290.8,      285.1,      286.7,      287.1,         -1.04%,        0.0,   32582,   94407,   33828,  131748
10/11/2001,200112,12/27/2001,      285.8,      286.9,      281.3,      282.6,      281.8,         -1.43%,        0.0,   27442,   90780,   29015,  128461
10/12/2001,200112,12/27/2001,      282.6,      286.5,      282.6,      285.7,      281.8,          1.10%,        0.0,   23776,   89944,   24665,  127647
10/15/2001,200112,12/27/2001,      285.3,      286.8,      282.5,      282.7,      281.8,         -1.05%,        0.0,   19008,   89855,   20666,  127828
