Date,ExpiryDate,       Open,       High,        Low,      Close,Nearest1,ExpiryDate1,Open1,High1,Low1,Close1
04/02/2001,06/27/2001,      258.2,      258.8,      255.8,      256.6,200108,08/29/2001,260.1,260.1,257.3,258.0,
04/03/2001,06/27/2001,      258.5,      259.4,      257.2,      257.9,200108,08/29/2001,260.5,260.5,259.0,259.3,
04/04/2001,06/27/2001,      259.7,      261.5,      258.0,      259.4,200108,08/29/2001,262.0,262.8,260.1,260.7,
04/05/2001,06/27/2001,      258.6,      259.4,      258.4,      259.1,200108,08/29/2001,260.2,260.7,259.8,260.5,
04/06/2001,06/27/2001,      258.5,      261.1,      258.4,      260.9,200108,08/29/2001,262.0,262.4,261.3,262.3,
04/09/2001,06/27/2001,      260.7,      261.0,      259.0,      259.2,200108,08/29/2001,261.8,262.0,261.0,260.6,
04/10/2001,06/27/2001,      258.3,      259.6,      257.2,      258.2,200108,08/29/2001,260.0,260.5,258.8,259.6,
04/11/2001,06/27/2001,      258.0,      260.6,      257.6,      259.6,200108,08/29/2001,259.8,261.9,259.2,260.9,
04/12/2001,06/27/2001,      260.3,      261.7,      259.9,      260.9,200108,08/29/2001,262.0,262.6,261.7,262.1,
04/16/2001,06/27/2001,      260.5,      265.0,      260.5,      264.1,200108,08/29/2001,262.5,266.4,262.5,265.4,
04/17/2001,06/27/2001,      262.2,      262.5,      260.8,      261.8,200108,08/29/2001,263.7,264.0,262.5,263.1,
04/18/2001,06/27/2001,      259.8,      263.2,      259.2,      262.0,200108,08/29/2001,261.0,264.0,260.9,263.3,
04/19/2001,06/27/2001,      262.0,      266.1,      262.0,      266.0,200108,08/29/2001,263.0,267.5,263.0,267.2,
04/20/2001,06/27/2001,      264.8,      266.0,      264.2,      265.4,200108,08/29/2001,266.3,267.0,265.4,266.5,
04/23/2001,06/27/2001,      263.6,      264.4,      263.1,      264.3,200108,08/29/2001,264.5,265.3,264.1,265.3,
04/24/2001,06/27/2001,      265.0,      265.7,      263.5,      264.7,200108,08/29/2001,266.3,266.3,264.7,265.7,
04/25/2001,06/27/2001,      264.7,      265.0,      262.2,      262.6,200108,08/29/2001,265.6,266.0,263.2,263.6,
04/26/2001,06/27/2001,      263.1,      264.9,      262.9,      264.5,200108,08/29/2001,264.0,265.9,264.0,265.5,
04/27/2001,06/27/2001,      267.0,      267.5,      264.1,      264.3,200108,08/29/2001,269.5,269.5,265.2,265.3,
04/30/2001,06/27/2001,      263.8,      264.5,      263.5,      264.4,200108,08/29/2001,265.3,265.5,264.7,265.4,
05/01/2001,06/27/2001,      264.4,      265.0,      264.1,      264.8,200108,08/29/2001,266.0,266.0,265.2,265.8,
05/02/2001,06/27/2001,      265.2,      266.0,      264.3,      265.8,200108,08/29/2001,266.7,267.0,265.4,266.8,
05/03/2001,06/27/2001,      265.7,      268.0,      265.6,      266.7,200108,08/29/2001,267.0,269.0,266.7,267.7,
05/04/2001,06/27/2001,      267.1,      267.9,      266.2,      266.5,200108,08/29/2001,268.1,269.0,267.3,267.4,
05/07/2001,06/27/2001,      266.1,      267.0,      265.9,      266.5,200108,08/29/2001,267.4,268.0,266.8,267.4,
05/08/2001,06/27/2001,      265.6,      266.0,      265.3,      265.5,200108,08/29/2001,266.5,267.2,266.3,266.4,
05/09/2001,06/27/2001,      267.3,      271.0,      267.1,      270.4,200108,08/29/2001,267.7,272.0,267.7,271.4,
05/10/2001,06/27/2001,      270.6,      270.9,      268.5,      269.5,200108,08/29/2001,271.6,272.0,269.5,270.5,
05/11/2001,06/27/2001,      269.9,      270.2,      268.2,      268.3,200108,08/29/2001,271.4,271.4,269.1,269.4,
05/14/2001,06/27/2001,      267.8,      269.1,      267.8,      268.7,200108,08/29/2001,269.3,270.3,269.0,269.7,
05/15/2001,06/27/2001,      268.1,      268.6,      266.6,      268.5,200108,08/29/2001,269.5,270.0,267.6,269.5,
05/16/2001,06/27/2001,      270.3,      272.8,      269.9,      272.4,200108,08/29/2001,271.7,273.7,271.0,273.3,
05/17/2001,06/27/2001,      272.8,      274.9,      272.7,      274.0,200108,08/29/2001,273.8,276.0,273.5,275.0,
05/18/2001,06/27/2001,      273.0,      288.5,      272.6,      287.8,200108,08/29/2001,274.1,290.0,273.7,288.9,
