"Ticker Symbol","Date","Open","High","Low","Close"
"DX_0011N",4/2/2001,117.77,117.89,117,117.5
"DX_0011N",4/3/2001,117.34,117.34,115.75,115.85
"DX_0011N",4/4/2001,115.71,116.14,114.92,115.26
"DX_0011N",4/5/2001,115.15,115.81,114.51,115.56
"DX_0011N",4/6/2001,115.59,115.95,114.69,114.9
"DX_0011N",4/9/2001,114.94,115.4,114.8,115.4
"DX_0011N",4/10/2001,115.6,116.28,115.2,116.07
"DX_0011N",4/11/2001,116,116.75,115.72,116.22
"DX_0011N",4/12/2001,116.17,116.27,115.33,115.63
"DX_0011N",4/16/2001,116.45,116.65,116.2,116.26
"DX_0011N",4/17/2001,116.11,116.95,115.83,116.62
"DX_0011N",4/18/2001,116.58,117.7,115.8,116.23
"DX_0011N",4/19/2001,116.28,116.55,115.05,115.17
"DX_0011N",4/20/2001,114.85,115.2,114.38,114.48
"DX_0011N",4/23/2001,114.38,115.25,114.01,114.9
"DX_0011N",4/24/2001,115,115.51,114.6,115.34
"DX_0011N",4/25/2001,115.42,115.65,114.78,115.16
"DX_0011N",4/26/2001,115.01,115.38,114.55,114.59
"DX_0011N",4/27/2001,114.75,116,114.52,115.81
"DX_0011N",4/30/2001,115.78,116.28,115.72,115.95
"DX_0011N",5/1/2001,115.84,116.1,115.25,115.46
"DX_0011N",5/2/2001,115.36,115.77,115.08,115.32
"DX_0011N",5/3/2001,115,115.68,114.9,115.53
"DX_0011N",5/4/2001,115.45,115.45,114.38,115.09
"DX_0011N",5/7/2001,115.28,115.49,115.27,115.49
"DX_0011N",5/8/2001,115.4,116.3,115.36,116.24
"DX_0011N",5/9/2001,116.18,116.46,116.06,116.22
"DX_0011N",5/10/2001,116.06,116.8,115.55,116.52
"DX_0011N",5/11/2001,116.44,117.19,116.44,116.98
"DX_0011N",5/14/2001,117.1,117.45,117.06,117.22
"DX_0011N",5/15/2001,117.24,117.32,116.67,116.8
"DX_0011N",5/16/2001,116.57,117.23,116.07,116.24
"DX_0011N",5/17/2001,116.24,116.6,115.85,116.16
"DX_0011N",5/18/2001,116.25,116.95,116.21,116.46
"DX_0011N",5/21/2001,116.4,116.97,116.3,116.58
"DX_0011N",5/22/2001,116.62,118.05,116.62,117.79
"DX_0011N",5/23/2001,117.83,118.5,117.67,118.41
"DX_0011N",5/24/2001,118.53,118.78,117.9,118.45
"DX_0011N",5/25/2001,118.4,118.64,117.89,118.26
"DX_0011N",5/29/2001,118.08,118.7,118.06,118.28
"DX_0011N",5/30/2001,118.47,118.54,118.03,118.31
"DX_0011N",5/31/2001,118.34,119.33,118.34,119.19
"DX_0011N",6/1/2001,119.42,119.65,119.06,119.28
"DX_0011N",6/4/2001,119.38,119.73,118.92,119.52
"DX_0011N",6/5/2001,119.65,119.9,119.02,119.09
"DX_0011N",6/6/2001,119,119.98,118.83,119.74
"DX_0011N",6/7/2001,119.84,119.94,119.29,119.49
"DX_0011N",6/8/2001,119.39,119.95,119.39,119.57
"DX_0011N",6/11/2001,119.74,120.65,119.56,120.42
"DX_0011N",6/12/2001,120.45,120.48,119.85,119.98
"DX_0011N",6/13/2001,119.7,119.79,119.15,119.39
"DX_0011N",6/14/2001,119.2,119.83,118.25,118.26
"DX_0011N",6/15/2001,118.37,118.68,117.75,118.55
"DX_0011N",6/18/2001,118.46,119,118.4,118.71
"DX_0011N",6/19/2001,118.84,119.5,118.81,119.38
"DX_0011N",6/20/2001,119.43,119.94,119.27,119.44
"DX_0011N",6/21/2001,119.49,119.58,119.02,119.18
"DX_0011N",6/22/2001,119.3,119.55,118.92,119.23
"DX_0011N",6/25/2001,119.08,119.09,118.4,118.55
"DX_0011N",6/26/2001,118.68,118.74,118.14,118.32
"DX_0011N",6/27/2001,118.33,118.84,118.11,118.68
"DX_0011N",6/28/2001,118.7,120.37,118.7,120.29
"DX_0011N",6/29/2001,120.3,120.3,119.72,119.75
"DX_0011N",7/2/2001,119.7,120.18,119.7,119.96
"DX_0011N",7/3/2001,119.87,119.99,119.56,119.83
"DX_0011N",7/4/2001,119.94,120.29,119.94,120.16
"DX_0011N",7/5/2001,120.55,121.29,120.46,121.21
"DX_0011N",7/6/2001,121.11,121.29,120.1,120.15
"DX_0011N",7/9/2001,120.15,120.41,119.79,120.11
"DX_0011N",7/10/2001,119.75,119.92,119.11,119.42
"DX_0011N",7/11/2001,119.29,119.49,118.38,118.94
"DX_0011N",7/12/2001,119.17,119.6,119.01,119.34
"DX_0011N",7/13/2001,119.46,119.83,119.16,119.62
"DX_0011N",7/16/2001,119.39,119.57,119.08,119.52
"DX_0011N",7/17/2001,119.85,120.11,118.9,119.17
"DX_0011N",7/18/2001,119,119.22,117.45,117.6
"DX_0011N",7/19/2001,117.56,117.96,117.05,117.53
"DX_0011N",7/20/2001,117.53,117.6,116.9,117.42
"DX_0011N",7/23/2001,117.63,118.33,117.62,118.03
"DX_0011N",7/24/2001,117.93,117.93,117.25,117.31
"DX_0011N",7/25/2001,117.51,117.65,116.68,116.81
"DX_0011N",7/26/2001,116.78,117.32,116.58,116.93
"DX_0011N",7/27/2001,116.99,117.55,116.66,117.14
"DX_0011N",7/30/2001,117.03,117.67,116.99,117.41
"DX_0011N",7/31/2001,117.5,117.6,117.02,117.39
"DX_0011N",8/1/2001,117.25,117.25,116.56,116.7
"DX_0011N",8/2/2001,116.76,116.95,116.39,116.41
"DX_0011N",8/3/2001,116.42,116.92,116.01,116.31
"DX_0011N",8/6/2001,116.38,116.85,116.38,116.57
"DX_0011N",8/7/2001,116.6,117.21,116.6,117.02
"DX_0011N",8/8/2001,117.1,117.25,116.65,116.65
"DX_0011N",8/9/2001,116.5,116.67,115.22,115.41
"DX_0011N",8/10/2001,115.48,115.55,115.14,115.42
"DX_0011N",8/13/2001,115.45,115.54,114.8,115.16
"DX_0011N",8/14/2001,115.27,115.58,114.44,114.48
"DX_0011N",8/15/2001,114.52,114.52,113.17,113.26
"DX_0011N",8/16/2001,113.23,113.7,112.56,113.2
"DX_0011N",8/17/2001,113.47,113.63,113.04,113.13
"DX_0011N",8/20/2001,113.23,113.76,113,113.5
"DX_0011N",8/21/2001,113.59,113.95,113.27,113.37
"DX_0011N",8/22/2001,112.95,113.42,112.47,113.41
"DX_0011N",8/23/2001,113.41,113.7,113.05,113.19
"DX_0011N",8/24/2001,113.3,113.9,113.14,113.45
"DX_0011N",8/27/2001,113.51,113.8,113.45,113.46
"DX_0011N",8/28/2001,113.42,114.32,113.35,113.5
"DX_0011N",8/29/2001,113.43,113.7,113.11,113.56
"DX_0011N",8/30/2001,113.85,113.88,112.75,112.87
"DX_0011N",8/31/2001,112.97,113.82,112.72,113.54
"DX_0011N",9/3/2001,113.96,113.96,113.96,114.01
"DX_0011N",9/4/2001,114.74,116.1,114.65,116.06
"DX_0011N",9/5/2001,115.87,116.18,115.69,115.99
"DX_0011N",9/6/2001,115.9,116.43,115.2,115.36
"DX_0011N",9/7/2001,115.37,115.53,114.3,114.47
"DX_0011N",9/10/2001,114.34,115.2,114.25,115.01
"DX_0011N",9/17/2001,113.01,113.3,111.83,112.56
"DX_0011N",9/18/2001,112.89,113,112.24,112.35
"DX_0011N",9/19/2001,112.76,112.86,111.88,112.08
"DX_0011N",9/20/2001,112.4,112.62,112.16,112.37
"DX_0011N",9/21/2001,112.99,113.96,112.81,113.63
"DX_0011N",9/24/2001,113.3,113.68,113.17,113.42
"DX_0011N",9/25/2001,113.43,113.43,112.46,112.7
"DX_0011N",9/26/2001,112.65,113.04,112.63,112.68
"DX_0011N",9/27/2001,113.21,113.62,113.03,113.5
"DX_0011N",9/28/2001,113.68,114.12,113.36,113.96
"DX_0011N",10/1/2001,114.08,114.14,113.34,113.37
"DX_0011N",10/2/2001,113.5,113.8,113.2,113.38
"DX_0011N",10/3/2001,113.3,113.68,112.95,113.67
"DX_0011N",10/4/2001,113.63,113.94,113.4,113.55
"DX_0011N",10/5/2001,113.18,113.48,113.08,113.3
"DX_0011N",10/8/2001,113.18,113.18,112.62,112.96
"DX_0011N",10/9/2001,112.86,113.81,112.85,113.78
"DX_0011N",10/10/2001,113.7,114.14,113.64,114.1
"DX_0011N",10/11/2001,114.1,115.26,114.02,114.85
"DX_0011N",10/12/2001,114.78,114.9,113.85,114.28
"DX_0011N",10/15/2001,113.85,114.35,113.84,114.16
"DX_0011N",10/16/2001,114.38,114.75,114.02,114.22
"DX_0011N",10/17/2001,114.55,114.91,114.1,114.78
"DX_0011N",10/18/2001,114.68,115.04,114.58,114.74
"DX_0011N",10/19/2001,114.95,115.4,114.92,115.18
"DX_0011N",10/22/2001,115.28,116.38,115.28,116.1
"DX_0011N",10/23/2001,116.17,116.6,116.15,116.23
"DX_0011N",10/24/2001,115.95,116.18,115.9,115.96
"DX_0011N",10/25/2001,116.13,116.45,115.45,115.89
"DX_0011N",10/26/2001,115.73,116.09,115.73,115.9
"DX_0011N",10/29/2001,115.49,115.49,114.55,114.71
"DX_0011N",10/30/2001,114.5,114.79,114.11,114.67
"DX_0011N",10/31/2001,114.54,115.3,114.54,115.15
"DX_0011N",11/1/2001,114.95,114.95,113.92,114.65
"DX_0011N",11/2/2001,114.6,114.92,114.35,114.73
"DX_0011N",11/5/2001,115.09,115.54,115.09,115.25
"DX_0011N",11/6/2001,115.08,115.28,114.9,115.03
"DX_0011N",11/7/2001,114.57,115.32,114.45,115.25
"DX_0011N",11/8/2001,115.03,115.65,114.75,115.38
"DX_0011N",11/9/2001,115.53,115.57,115.2,115.32
"DX_0011N",11/12/2001,115.3,115.55,115.3,115.55
"DX_0011N",11/13/2001,116.01,116.84,116.01,116.62
"DX_0011N",11/14/2001,116.75,117.05,116.3,116.4
"DX_0011N",11/15/2001,116.62,116.8,116.3,116.74
"DX_0011N",11/16/2001,116.46,116.64,116.32,116.53
"DX_0011N",11/19/2001,116.88,117.42,116.83,117.14
"DX_0011N",11/20/2001,116.81,117,116.62,116.81
"DX_0011N",11/21/2001,117.03,117.6,117.03,117.34
"DX_0011N",11/22/2001,117.42,117.42,117.42,117.43
"DX_0011N",11/23/2001,117.5,117.98,117.13,117.47
"DX_0011N",11/26/2001,117.28,117.38,116.92,117.17
"DX_0011N",11/27/2001,117.05,117.4,116.93,116.98
"DX_0011N",11/28/2001,116.63,116.8,116.2,116.23
"DX_0011N",11/29/2001,116.4,116.55,115.78,116.25
"DX_0011N",11/30/2001,116.35,116.6,115.27,115.55
"DX_0011N",12/3/2001,116.41,116.8,116.37,116.59
"DX_0011N",12/4/2001,116.68,116.72,116.53,116.65
"DX_0011N",12/5/2001,116.46,117.18,116.35,117.05
"DX_0011N",12/6/2001,117.01,117.01,116.14,116.17
"DX_0011N",12/7/2001,116.3,116.82,116.22,116.66
"DX_0011N",12/10/2001,116.58,117.36,116.58,116.84
"DX_0011N",12/11/2001,116.66,116.9,116.55,116.64
"DX_0011N",12/12/2001,116.02,116.35,115.81,115.88
"DX_0011N",12/13/2001,115.89,116.46,115.73,116.34
"DX_0011N",12/14/2001,116.05,116.05,115.33,115.44
"DX_0011N",12/17/2001,115.55,115.63,115.11,115.59
"DX_0011N",12/18/2001,115.82,115.95,115.6,115.67
"DX_0011N",12/19/2001,115.9,116.28,115.81,116.07
"DX_0011N",12/20/2001,116.18,116.48,116.1,116.12
