"Ticker Symbol","Date","Divide(Momentum(SystemEquity(MACD Crossover System),1),10000)"
"BP_0011N",4/3/2001,0
"BP_0011N",4/4/2001,0
"BP_0011N",4/5/2001,0
"BP_0011N",4/6/2001,0
"BP_0011N",4/9/2001,0
"BP_0011N",4/10/2001,0
"BP_0011N",4/11/2001,0
"BP_0011N",4/12/2001,0
"BP_0011N",4/16/2001,0
"BP_0011N",4/17/2001,0
"BP_0011N",4/18/2001,0
"BP_0011N",4/19/2001,0
"BP_0011N",4/20/2001,-2.895521E-03
"BP_0011N",4/23/2001,-1.802289E-03
"BP_0011N",4/24/2001,-2.495521E-03
"BP_0011N",4/25/2001,2.911427E-03
"BP_0011N",4/26/2001,8.318127E-04
"BP_0011N",4/27/2001,-5.406948E-03
"BP_0011N",4/30/2001,-1.109138E-03
"BP_0011N",5/1/2001,0
"BP_0011N",5/2/2001,0
"BP_0011N",5/3/2001,0
"BP_0011N",5/4/2001,0
"BP_0011N",5/7/2001,0
"BP_0011N",5/8/2001,0
"BP_0011N",5/9/2001,0
"BP_0011N",5/10/2001,0
"BP_0011N",5/11/2001,0
"BP_0011N",5/14/2001,0
"BP_0011N",5/15/2001,0
"BP_0011N",5/16/2001,0
"BP_0011N",5/17/2001,0
"BP_0011N",5/18/2001,0
"BP_0011N",5/21/2001,-0.0004
"BP_0011N",5/22/2001,-8.339975E-03
"BP_0011N",5/23/2001,-4.447993E-03
"BP_0011N",5/24/2001,0
"BP_0011N",5/25/2001,0
"BP_0011N",5/29/2001,0
"BP_0011N",5/30/2001,0
"BP_0011N",5/31/2001,0
"BP_0011N",6/1/2001,0
"BP_0011N",6/4/2001,0
"BP_0011N",6/5/2001,0
"BP_0011N",6/6/2001,0
"BP_0011N",6/7/2001,0
"BP_0011N",6/8/2001,0
"BP_0011N",6/11/2001,0
"BP_0011N",6/12/2001,0
"BP_0011N",6/13/2001,0
"BP_0011N",6/14/2001,0
"BP_0011N",6/15/2001,0
"BP_0011N",6/18/2001,2.850647E-05
"BP_0011N",6/19/2001,-3.142491E-03
"BP_0011N",6/20/2001,-7.142334E-04
"BP_0011N",6/21/2001,1.271274E-02
"BP_0011N",6/22/2001,-3.713776E-03
"BP_0011N",6/25/2001,1.714024E-03
"BP_0011N",6/26/2001,9.998764E-04
"BP_0011N",6/27/2001,8.570954E-04
"BP_0011N",6/28/2001,-5.285104E-03
"BP_0011N",6/29/2001,-2.142615E-03
"BP_0011N",7/2/2001,0
"BP_0011N",7/3/2001,0
"BP_0011N",7/5/2001,0
"BP_0011N",7/6/2001,0
"BP_0011N",7/9/2001,0
"BP_0011N",7/10/2001,0
"BP_0011N",7/11/2001,0
"BP_0011N",7/12/2001,0
"BP_0011N",7/13/2001,0
"BP_0011N",7/16/2001,0
"BP_0011N",7/17/2001,0
"BP_0011N",7/18/2001,0
"BP_0011N",7/19/2001,4.548279E-03
"BP_0011N",7/20/2001,2.120715E-03
"BP_0011N",7/23/2001,-8.482776E-03
"BP_0011N",7/24/2001,3.251775E-03
"BP_0011N",7/25/2001,2.827564E-03
"BP_0011N",7/26/2001,7.06932E-04
