Ticker Symbol,Date,Strategy 1 (days),Strategy 1 (aggregated p&l),Strategy 2 (days),Strategy 2 (aggregated p&l)
abc,1/28/2015,0,0.00%,0,0.00%
abc,1/29/2015,0,0.00%,0,0.00%
abc,1/30/2015,0,0.00%,0,0.00%
abc,2/2/2015,0,0.00%,0,0.00%
abc,2/3/2015,0,0.00%,0,0.00%
abc,2/4/2015,0,0.00%,0,0.00%
abc,2/5/2015,0,0.00%,0,0.00%
abc,2/6/2015,0,0.00%,0,0.00%
abc,2/9/2015,0,0.00%,0,0.00%
abc,2/10/2015,0,0.00%,0,0.00%
abc,2/11/2015,0,0.00%,0,0.00%
abc,2/12/2015,0,0.00%,0,0.00%
abc,2/13/2015,0,0.00%,0,0.00%
abc,2/17/2015,0,0.00%,0,0.00%
abc,2/18/2015,1,0.26%,0,0.00%
abc,2/19/2015,2,-0.21%,0,0.00%
abc,2/20/2015,3,-0.06%,0,0.00%
abc,2/23/2015,4,0.04%,0,0.00%
abc,2/24/2015,5,-0.33%,0,0.00%
abc,2/25/2015,6,-0.33%,1,-0.05%
abc,2/26/2015,7,-0.81%,2,-0.53%
abc,2/27/2015,8,-0.03%,3,0.26%
abc,3/2/2015,9,-0.23%,4,0.06%
abc,3/3/2015,10,0.26%,5,0.54%
abc,3/4/2015,11,0.25%,6,0.54%
abc,3/5/2015,12,0.94%,7,1.22%
abc,3/6/2015,13,1.09%,8,1.37%
abc,3/9/2015,14,2.34%,9,2.62%
abc,3/10/2015,15,1.82%,10,2.10%
abc,3/11/2015,16,2.19%,11,2.46%
abc,3/12/2015,17,3.10%,12,3.37%
abc,3/13/2015,18,3.64%,13,3.91%
abc,3/16/2015,19,4.47%,14,4.73%
abc,3/17/2015,20,3.74%,15,4.01%
abc,3/18/2015,21,2.94%,16,3.31%
abc,3/19/2015,0,0.00%,0,0.00%
abc,3/20/2015,0,0.00%,0,0.00%
abc,3/23/2015,0,0.00%,0,0.00%
abc,3/24/2015,0,0.00%,0,0.00%
abc,3/25/2015,0,0.00%,0,0.00%
abc,3/26/2015,0,0.00%,0,0.00%
abc,3/27/2015,0,0.00%,0,0.00%
abc,3/30/2015,0,0.00%,0,0.00%
abc,3/31/2015,0,0.00%,0,0.00%
abc,4/1/2015,1,-0.34%,0,0.00%
abc,4/2/2015,2,-0.23%,0,0.00%
abc,4/3/2015,3,-0.21%,0,0.00%
abc,4/6/2015,4,-0.84%,0,0.00%
abc,4/7/2015,5,-0.86%,0,0.00%
abc,4/8/2015,6,-0.24%,0,0.00%
abc,4/9/2015,7,-0.60%,0,0.00%
abc,4/10/2015,8,0.68%,0,0.00%
abc,4/13/2015,9,0.97%,0,0.00%
abc,4/14/2015,10,0.78%,0,0.00%
abc,4/15/2015,11,-0.20%,0,0.00%
abc,4/16/2015,0,0.00%,0,0.00%
abc,4/17/2015,0,0.00%,0,0.00%
abc,4/20/2015,0,0.00%,0,0.00%
abc,4/21/2015,0,0.00%,0,0.00%
abc,4/22/2015,0,0.00%,0,0.00%
abc,4/23/2015,0,0.00%,0,0.00%
abc,4/24/2015,0,0.00%,0,0.00%
abc,4/27/2015,0,0.00%,0,0.00%
abc,4/28/2015,0,0.00%,0,0.00%
abc,4/29/2015,1,-1.45%,0,0.00%
abc,4/30/2015,0,0.00%,0,0.00%
abc,5/1/2015,0,0.00%,0,0.00%
abc,5/4/2015,0,0.00%,0,0.00%
abc,5/5/2015,0,0.00%,1,0.11%
abc,5/6/2015,1,-0.37%,2,-0.24%
abc,5/7/2015,2,-0.83%,3,-0.70%
abc,5/8/2015,3,-1.97%,4,-1.84%
abc,5/11/2015,0,0.00%,0,0.00%
abc,5/12/2015,0,0.00%,0,0.00%
abc,5/13/2015,0,0.00%,0,0.00%
abc,5/14/2015,0,0.00%,0,0.00%
abc,5/15/2015,0,0.00%,0,0.00%
abc,5/18/2015,0,0.00%,0,0.00%
abc,5/19/2015,0,0.00%,0,0.00%
abc,5/20/2015,0,0.00%,1,0.98%
abc,5/21/2015,1,-0.27%,2,0.66%
abc,5/22/2015,2,-1.09%,3,-0.15%
abc,5/26/2015,3,0.11%,4,1.03%
abc,5/27/2015,4,0.77%,5,1.69%
abc,5/28/2015,5,1.08%,6,1.99%
abc,5/29/2015,6,1.17%,7,2.08%
abc,6/1/2015,7,1.37%,8,2.28%
abc,6/2/2015,8,1.93%,9,2.83%
abc,6/3/2015,9,1.01%,10,1.92%
abc,6/4/2015,10,1.24%,11,1.45%
abc,6/5/2015,11,0.90%,0,0.00%
abc,6/8/2015,12,1.51%,0,0.00%
abc,6/9/2015,13,1.16%,0,0.00%
abc,6/10/2015,14,0.43%,0,0.00%
abc,6/11/2015,0,0.00%,1,0.88%
abc,6/12/2015,0,0.00%,2,0.83%
abc,6/15/2015,0,0.00%,3,1.06%
abc,6/16/2015,0,0.00%,4,1.40%
abc,6/17/2015,0,0.00%,5,1.68%
abc,6/18/2015,0,0.00%,6,2.86%
abc,6/19/2015,0,0.00%,7,3.14%
abc,6/22/2015,0,0.00%,8,3.19%
abc,6/23/2015,0,0.00%,9,2.87%
abc,6/24/2015,0,0.00%,10,2.12%
abc,6/25/2015,1,0.13%,11,2.04%
abc,6/26/2015,2,-0.07%,12,2.24%
abc,6/29/2015,3,-0.07%,13,2.23%
abc,6/30/2015,4,-0.10%,14,2.26%
abc,7/1/2015,5,-0.08%,15,2.24%
abc,7/2/2015,6,0.76%,16,1.39%
abc,7/6/2015,7,0.77%,17,1.38%
abc,7/7/2015,8,0.74%,18,0.77%
abc,7/8/2015,9,1.76%,0,0.00%
abc,7/9/2015,10,2.33%,0,0.00%
abc,7/10/2015,11,2.27%,0,0.00%
abc,7/13/2015,12,1.37%,0,0.00%
abc,7/14/2015,13,0.76%,0,0.00%
abc,7/15/2015,0,0.00%,0,0.00%
abc,7/16/2015,0,0.00%,1,-0.05%
abc,7/17/2015,0,0.00%,2,-0.21%
abc,7/20/2015,0,0.00%,3,-0.16%
abc,7/21/2015,0,0.00%,4,-0.44%
abc,7/22/2015,1,-0.05%,5,-0.53%
abc,7/23/2015,2,0.24%,6,-0.24%
abc,7/24/2015,3,-0.32%,7,-0.80%
abc,7/27/2015,4,-0.33%,8,-0.81%
abc,7/28/2015,5,-0.03%,9,-0.51%
abc,7/29/2015,6,0.22%,10,-0.26%
abc,7/30/2015,7,0.35%,11,-0.14%
abc,7/31/2015,8,0.25%,12,-0.23%
abc,8/3/2015,9,0.35%,13,-0.14%
abc,8/4/2015,10,0.14%,14,-0.34%
abc,8/5/2015,11,0.04%,15,-0.44%
abc,8/6/2015,12,0.24%,16,-0.24%
abc,8/7/2015,13,-0.28%,17,-0.76%
abc,8/10/2015,14,-0.43%,18,-0.90%
abc,8/11/2015,15,0.28%,19,-0.20%
abc,8/12/2015,16,0.00%,20,-0.48%
abc,8/13/2015,17,0.35%,21,-0.14%
abc,8/14/2015,18,0.35%,22,-0.13%
abc,8/17/2015,19,0.60%,23,0.11%
abc,8/18/2015,20,0.17%,24,-0.32%
abc,8/19/2015,21,0.67%,25,0.19%
