Ticker Symbol,Date,Strategy 1 (days),Strategy 1 (aggregated p&l)
abc,2/18/2015,1,0.26%
abc,2/19/2015,2,-0.21%
abc,2/20/2015,3,-0.06%
abc,2/23/2015,4,0.04%
abc,2/24/2015,5,-0.33%
abc,2/25/2015,6,-0.33%
abc,2/26/2015,7,-0.81%
abc,2/27/2015,8,-0.03%
abc,3/2/2015,9,-0.23%
abc,3/3/2015,10,0.26%
abc,3/4/2015,11,0.25%
abc,3/5/2015,12,0.94%
abc,3/6/2015,13,1.09%
abc,3/9/2015,14,2.34%
abc,3/10/2015,15,1.82%
abc,3/11/2015,16,2.19%
abc,3/12/2015,17,3.10%
abc,3/13/2015,18,3.64%
abc,3/16/2015,19,4.47%
abc,3/17/2015,20,3.74%
abc,3/18/2015,21,2.94%
abc,4/1/2015,1,-0.34%
abc,4/2/2015,2,-0.23%
abc,4/3/2015,3,-0.21%
abc,4/6/2015,4,-0.84%
abc,4/7/2015,5,-0.86%
abc,4/8/2015,6,-0.24%
abc,4/9/2015,7,-0.60%
abc,4/10/2015,8,0.68%
abc,4/13/2015,9,0.97%
abc,4/14/2015,10,0.78%
abc,4/15/2015,11,-0.20%
abc,4/29/2015,1,-1.45%
abc,5/6/2015,1,-0.37%
abc,5/7/2015,2,-0.83%
abc,5/8/2015,3,-1.97%
abc,5/21/2015,1,-0.27%
abc,5/22/2015,2,-1.09%
abc,5/26/2015,3,0.11%
abc,5/27/2015,4,0.77%
abc,5/28/2015,5,1.08%
abc,5/29/2015,6,1.17%
abc,6/1/2015,7,1.37%
abc,6/2/2015,8,1.93%
abc,6/3/2015,9,1.01%
abc,6/4/2015,10,1.24%
abc,6/5/2015,11,0.90%
abc,6/8/2015,12,1.51%
abc,6/9/2015,13,1.16%
abc,6/10/2015,14,0.43%
abc,6/25/2015,1,0.13%
abc,6/26/2015,2,-0.07%
abc,6/29/2015,3,-0.07%
abc,6/30/2015,4,-0.10%
abc,7/1/2015,5,-0.08%
abc,7/2/2015,6,0.76%
abc,7/6/2015,7,0.77%
abc,7/7/2015,8,0.74%
abc,7/8/2015,9,1.76%
abc,7/9/2015,10,2.33%
abc,7/10/2015,11,2.27%
abc,7/13/2015,12,1.37%
abc,7/14/2015,13,0.76%
abc,7/22/2015,1,-0.05%
abc,7/23/2015,2,0.24%
abc,7/24/2015,3,-0.32%
abc,7/27/2015,4,-0.33%
abc,7/28/2015,5,-0.03%
abc,7/29/2015,6,0.22%
abc,7/30/2015,7,0.35%
abc,7/31/2015,8,0.25%
abc,8/3/2015,9,0.35%
abc,8/4/2015,10,0.14%
abc,8/5/2015,11,0.04%
abc,8/6/2015,12,0.24%
abc,8/7/2015,13,-0.28%
abc,8/10/2015,14,-0.43%
abc,8/11/2015,15,0.28%
abc,8/12/2015,16,0.00%
abc,8/13/2015,17,0.35%
abc,8/14/2015,18,0.35%
abc,8/17/2015,19,0.60%
abc,8/18/2015,20,0.17%
abc,8/19/2015,21,0.67%
abc,8/20/2015,22,0.85%
abc,8/21/2015,23,0.76%
abc,8/24/2015,24,0.90%
abc,8/25/2015,25,1.40%
abc,8/26/2015,26,0.81%
abc,8/27/2015,27,-0.58%
abc,8/28/2015,28,-1.22%
abc,9/18/2015,1,0.73%
abc,9/21/2015,2,0.33%
abc,9/22/2015,3,0.02%
abc,9/23/2015,4,-0.87%
abc,9/24/2015,5,-1.87%
abc,10/14/2015,1,-0.63%
abc,10/15/2015,2,0.87%
abc,10/16/2015,3,0.94%
abc,10/19/2015,4,0.72%
abc,10/20/2015,5,0.78%
abc,10/21/2015,6,0.60%
abc,10/22/2015,7,0.48%
abc,10/23/2015,8,0.26%
abc,10/26/2015,9,-0.18%
abc,10/27/2015,10,0.03%
abc,10/28/2015,11,-0.31%
abc,10/29/2015,12,-0.63%
abc,10/30/2015,13,-0.20%
abc,11/2/2015,14,0.51%
abc,11/3/2015,15,0.42%
abc,11/4/2015,16,0.59%
abc,11/5/2015,17,0.21%
abc,11/6/2015,18,-1.77%
abc,11/25/2015,1,0.18%
